symbol,year,month,change,mspr
ANGI,2014,2,-47800,-61.43959
ANGI,2014,1,-54200,-53.24165
ANGI,2013,12,-38400,-42.477875
ANGI,2013,11,-41600,-100.0
ANGI,2013,10,-48000,-64.86487
ANGI,2013,9,-12800,-49.612404
ANGI,2013,2,-6250,-100.0
ANGI,2012,12,-12800,-100.0
ANGI,2012,11,11764,100.0
ANGI,2012,8,-4662339,-95.14063
ATUS,2023,3,-3552231,-75.0003
ATUS,2023,2,-97812,-100.0
ATUS,2023,1,640,100.0
ATUS,2022,12,-541741,-52.91013
ATUS,2022,11,-3015965,-100.0
ATUS,2022,10,4868792,100.0
ATUS,2022,9,318440,83.45738
ATUS,2022,6,6743012,100.0
ATUS,2022,4,77547,100.0
ATUS,2021,12,-2229563,-98.23755
ATUS,2021,11,74500,92.546585
ATUS,2021,10,-3000,-100.0
ATUS,2021,9,-3000,-100.0
ATUS,2021,8,-3000,-100.0
ATUS,2021,7,-3000,-100.0
ATUS,2021,6,-3000,-100.0
ATUS,2021,5,-3630165,-67.92072
ATUS,2021,4,-28000,-100.0
ATUS,2021,2,-5000,-100.0
ATUS,2021,1,-40000,-100.0
ATUS,2020,12,-2000,-100.0
ATUS,2020,9,-3826355,-100.0
ATUS,2020,8,-606189,-100.0
ATUS,2020,7,-20000,-100.0
ATUS,2019,12,13957847,99.816895
ATUS,2019,11,18064,100.0
ATUS,2019,9,118530,100.0
ATUS,2018,9,39985,34.772892
ATUS,2018,8,556993,68.343285
ATUS,2018,7,94070,100.0
BAC,2023,3,-380246,-19.241446
BAC,2023,2,-214745,-100.0
BAC,2023,2,-224745,-100.0
BAC,2023,2,-329799,-100.0
BAC,2023,1,-293729,-18.550138
BAC,2022,12,-17509,-35.576553
BAC,2022,11,-27041,-42.190254
BAC,2022,10,-15852,-33.333332
BAC,2022,10,-115852,-78.51392
BAC,2022,9,-13122,-22.828016
BAC,2022,9,-16572,-27.19753
BAC,2022,8,-45328,-19.728241
BAC,2022,7,-15853,-33.333332
BAC,2022,6,-21897,-14.255767
BAC,2022,5,1485,4.174984
BAC,2022,5,-17332,-31.868496
BAC,2022,4,23360,36.957348
BAC,2022,4,77468,51.98497
BAC,2022,3,476995,33.89036
BAC,2022,3,41856,2.2715678
BAC,2022,2,1066068,38.16021
BAC,2022,2,1540123,42.926632
BAC,2022,1,305726,34.745144
BAC,2022,1,287908,32.07074
BAC,2021,12,-5000,-2.0778098
BAC,2021,12,-22819,-8.828935
BAC,2021,11,-4400,-10.9901085
BAC,2021,11,-22218,-38.40357
BAC,2021,10,-108478,-75.27131
BAC,2021,10,-126297,-77.9924
BAC,2021,9,-10000,-21.912525
BAC,2021,8,-80000,-69.18261
BAC,2021,8,-97818,-73.297165
BAC,2021,7,-27000,-43.104824
